date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:07:48	5339/5339	---M-Z	200	added ('OK')	application/javascript	etag:%221e8016a-14db-5cab33ebeca59-gzip%22	http://polygons.space/neptune/source/assets/plugins/countdown/jquery.countdown.min.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/countdown/jquery.countdown.min.js	(from http://polygons.space/neptune/source/templates/admin1/components-countdown.html)
19:07:50	2055/2055	---M-Z	200	added ('OK')	application/javascript	etag:%221e801d2-807-5cab340f769fd-gzip%22	http://polygons.space/neptune/source/assets/js/pages/countdown.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/js/pages/countdown.js	(from http://polygons.space/neptune/source/templates/admin1/components-countdown.html)
19:09:23	1357436/1357436	---M--	200	added ('OK')	image/jpeg	etag:%221e8012e-14b67c-5cab33caa21d1%22	http://polygons.space/neptune/source/assets/images/cards/card8.jpeg	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/cards/card8.jpg	(from http://polygons.space/neptune/source/templates/admin1/components-cards.html)
19:09:26	30975/30975	---M-Z	200	added ('OK')	application/javascript	etag:%221e8019e-78ff-5cab33ff13c3b-gzip%22	http://polygons.space/neptune/source/assets/plugins/lightbox/fslightbox.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/lightbox/fslightbox.js	(from http://polygons.space/neptune/source/templates/admin1/components-lightbox.html)
19:09:27	59/59	---M--	200	added ('OK')	application/javascript	etag:%221e801d4-3b-5cab340fb36a7%22	http://polygons.space/neptune/source/assets/js/pages/lightbox.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/js/pages/lightbox.js	(from http://polygons.space/neptune/source/templates/admin1/components-lightbox.html)
19:09:29	2635/2635	---M-Z	200	added ('OK')	application/javascript	etag:%221e801a3-a4b-5cab3400a5de1-gzip%22	http://polygons.space/neptune/source/assets/plugins/idle-timer/idle-timer.min.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/idle-timer/idle-timer.min.js	(from http://polygons.space/neptune/source/templates/admin1/components-session-timeout.html)
19:09:31	1000/1000	---M-Z	200	added ('OK')	application/javascript	etag:%221e801d5-3e8-5cab340fd0f50-gzip%22	http://polygons.space/neptune/source/assets/js/pages/session-timeout.js	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/js/pages/session-timeout.js	(from http://polygons.space/neptune/source/templates/admin1/components-session-timeout.html)
19:09:32	12914/12914	---M-Z	200	added ('OK')	text/css	etag:%221e801c0-3272-5cab340a3eeb6-gzip%22	http://polygons.space/neptune/source/assets/plugins/apexcharts/apexcharts.css	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/plugins/apexcharts/apexcharts.css	(from http://polygons.space/neptune/source/templates/admin1/widgets.html)
19:10:16	841677/841677	---M--	200	added ('OK')	image/jpeg	etag:%221e80133-cd7cd-5cab33cfaf94e%22	http://polygons.space/neptune/source/assets/images/cards/card3.jpeg	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/cards/card3.jpg	(from http://polygons.space/neptune/source/templates/admin1/components-lightbox.html)
19:12:44	2563966/2563966	---M--	200	added ('OK')	image/jpeg	etag:%221e80130-271f7e-5cab33cd38790%22	http://polygons.space/neptune/source/assets/images/cards/card5.jpeg	/Users/dp/websites/Neptune/polygons.space/neptune/source/assets/images/cards/card5.jpg	(from http://polygons.space/neptune/source/templates/admin1/components-cards.html)
